,image_path,predicted_class,confidence
0,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_0.png,dog,0.53
1,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_1.png,elephant,0.96
2,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_1.png,elephant,0.95
3,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_1.png,elephant,0.94
4,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_1.png,elephant,0.93
5,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_1.png,elephant,0.93
6,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_1.png,elephant,0.92
7,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_1.png,elephant,0.91
8,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_1.png,elephant,0.86
9,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_1.png,elephant,0.4
10,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_10.png,bear,0.96
11,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_10.png,bear,0.91
12,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_11.png,bird,0.94
13,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_11.png,bird,0.84
14,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_11.png,bird,0.8
15,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_11.png,bird,0.8
16,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_11.png,bird,0.79
17,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_11.png,bird,0.79
18,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_11.png,bird,0.68
19,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_11.png,bird,0.6
20,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_11.png,bird,0.59
21,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_11.png,bird,0.51
22,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_11.png,bird,0.45
23,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_11.png,bird,0.4
24,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_12.png,dog,0.77
25,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_12.png,bear,0.53
26,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_12.png,sheep,0.48
27,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_12.png,bird,0.31
28,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_12.png,dog,0.3
29,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_12.png,bear,0.26
30,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_13.png,bird,0.95
31,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_14.png,bird,0.92
32,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_14.png,bird,0.89
33,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_14.png,bird,0.88
34,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_14.png,bird,0.86
35,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_14.png,bird,0.85
36,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_14.png,bird,0.85
37,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_14.png,bird,0.84
38,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_14.png,bird,0.82
39,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_14.png,bird,0.8
40,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_14.png,bird,0.8
41,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_14.png,bird,0.8
42,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_14.png,bird,0.65
43,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_14.png,bird,0.65
44,/content/DALLE3/dalle_wildlife_zipped.zip/wildlife_img_14.png,bird,0.3
