,image_path,predicted_class,confidence
0,/content/SD_XL/cars_zipped.zip/cars_img_0.png,train,0.71
1,/content/SD_XL/cars_zipped.zip/cars_img_0.png,car,0.33
2,/content/SD_XL/cars_zipped.zip/cars_img_1.png,car,0.8
3,/content/SD_XL/cars_zipped.zip/cars_img_10.png,truck,0.97
4,/content/SD_XL/cars_zipped.zip/cars_img_11.png,boat,0.57
5,/content/SD_XL/cars_zipped.zip/cars_img_11.png,bus,0.56
6,/content/SD_XL/cars_zipped.zip/cars_img_11.png,bird,0.32
7,/content/SD_XL/cars_zipped.zip/cars_img_11.png,kite,0.27
8,/content/SD_XL/cars_zipped.zip/cars_img_12.png,car,0.9
9,/content/SD_XL/cars_zipped.zip/cars_img_12.png,car,0.73
10,/content/SD_XL/cars_zipped.zip/cars_img_12.png,person,0.66
11,/content/SD_XL/cars_zipped.zip/cars_img_12.png,car,0.55
12,/content/SD_XL/cars_zipped.zip/cars_img_12.png,car,0.55
13,/content/SD_XL/cars_zipped.zip/cars_img_12.png,car,0.39
14,/content/SD_XL/cars_zipped.zip/cars_img_12.png,car,0.34
15,/content/SD_XL/cars_zipped.zip/cars_img_12.png,traffic light,0.32
16,/content/SD_XL/cars_zipped.zip/cars_img_12.png,traffic light,0.26
17,/content/SD_XL/cars_zipped.zip/cars_img_13.png,car,0.68
18,/content/SD_XL/cars_zipped.zip/cars_img_13.png,truck,0.68
19,/content/SD_XL/cars_zipped.zip/cars_img_13.png,car,0.5
20,/content/SD_XL/cars_zipped.zip/cars_img_13.png,person,0.27
21,/content/SD_XL/cars_zipped.zip/cars_img_13.png,person,0.26
22,/content/SD_XL/cars_zipped.zip/cars_img_14.png,car,0.93
23,/content/SD_XL/cars_zipped.zip/cars_img_14.png,car,0.83
24,/content/SD_XL/cars_zipped.zip/cars_img_14.png,truck,0.81
25,/content/SD_XL/cars_zipped.zip/cars_img_14.png,car,0.79
26,/content/SD_XL/cars_zipped.zip/cars_img_14.png,car,0.77
27,/content/SD_XL/cars_zipped.zip/cars_img_14.png,car,0.77
28,/content/SD_XL/cars_zipped.zip/cars_img_14.png,car,0.73
