,image_path,predicted_class,confidence
0,/content/SD_XL/wildlife_zipped.zip/wildlife_img_0.png,dog,0.78
1,/content/SD_XL/wildlife_zipped.zip/wildlife_img_1.png,elephant,0.96
2,/content/SD_XL/wildlife_zipped.zip/wildlife_img_1.png,elephant,0.95
3,/content/SD_XL/wildlife_zipped.zip/wildlife_img_1.png,elephant,0.94
4,/content/SD_XL/wildlife_zipped.zip/wildlife_img_1.png,elephant,0.94
5,/content/SD_XL/wildlife_zipped.zip/wildlife_img_1.png,elephant,0.93
6,/content/SD_XL/wildlife_zipped.zip/wildlife_img_10.png,bear,0.98
7,/content/SD_XL/wildlife_zipped.zip/wildlife_img_11.png,bird,0.88
8,/content/SD_XL/wildlife_zipped.zip/wildlife_img_11.png,bird,0.79
9,/content/SD_XL/wildlife_zipped.zip/wildlife_img_11.png,bird,0.7
10,/content/SD_XL/wildlife_zipped.zip/wildlife_img_11.png,bird,0.47
11,/content/SD_XL/wildlife_zipped.zip/wildlife_img_11.png,surfboard,0.45
12,/content/SD_XL/wildlife_zipped.zip/wildlife_img_11.png,bird,0.39
13,/content/SD_XL/wildlife_zipped.zip/wildlife_img_11.png,bird,0.37
14,/content/SD_XL/wildlife_zipped.zip/wildlife_img_12.png,dog,0.43
15,/content/SD_XL/wildlife_zipped.zip/wildlife_img_12.png,bear,0.32
16,/content/SD_XL/wildlife_zipped.zip/wildlife_img_12.png,bear,0.32
17,/content/SD_XL/wildlife_zipped.zip/wildlife_img_12.png,bird,0.28
18,/content/SD_XL/wildlife_zipped.zip/wildlife_img_12.png,dog,0.26
19,/content/SD_XL/wildlife_zipped.zip/wildlife_img_12.png,bird,0.25
20,/content/SD_XL/wildlife_zipped.zip/wildlife_img_13.png,bird,0.94
21,/content/SD_XL/wildlife_zipped.zip/wildlife_img_14.png,bird,0.94
22,/content/SD_XL/wildlife_zipped.zip/wildlife_img_14.png,bird,0.93
23,/content/SD_XL/wildlife_zipped.zip/wildlife_img_14.png,bird,0.89
24,/content/SD_XL/wildlife_zipped.zip/wildlife_img_15.png,bear,0.68
25,/content/SD_XL/wildlife_zipped.zip/wildlife_img_17.png,bird,0.49
26,/content/SD_XL/wildlife_zipped.zip/wildlife_img_17.png,bird,0.35
27,/content/SD_XL/wildlife_zipped.zip/wildlife_img_18.png,bear,0.95
28,/content/SD_XL/wildlife_zipped.zip/wildlife_img_18.png,bear,0.92
29,/content/SD_XL/wildlife_zipped.zip/wildlife_img_18.png,surfboard,0.74
30,/content/SD_XL/wildlife_zipped.zip/wildlife_img_18.png,bear,0.67
31,/content/SD_XL/wildlife_zipped.zip/wildlife_img_19.png,sheep,0.94
32,/content/SD_XL/wildlife_zipped.zip/wildlife_img_19.png,sheep,0.89
33,/content/SD_XL/wildlife_zipped.zip/wildlife_img_2.png,giraffe,0.91
34,/content/SD_XL/wildlife_zipped.zip/wildlife_img_2.png,giraffe,0.88
35,/content/SD_XL/wildlife_zipped.zip/wildlife_img_2.png,giraffe,0.88
36,/content/SD_XL/wildlife_zipped.zip/wildlife_img_21.png,bird,0.84
37,/content/SD_XL/wildlife_zipped.zip/wildlife_img_21.png,bird,0.25
38,/content/SD_XL/wildlife_zipped.zip/wildlife_img_21.png,bird,0.25
39,/content/SD_XL/wildlife_zipped.zip/wildlife_img_22.png,bird,0.93
40,/content/SD_XL/wildlife_zipped.zip/wildlife_img_22.png,bird,0.92
