,image_path,predicted_class,confidence
0,datasets_generated_ready_models/stylegan2/generated_images/087000.png,car,0.95
1,datasets_generated_ready_models/stylegan2/generated_images/087000.png,truck,0.61
2,datasets_generated_ready_models/stylegan2/generated_images/087000.png,car,0.46
3,datasets_generated_ready_models/stylegan2/generated_images/087000.png,car,0.42
4,datasets_generated_ready_models/stylegan2/generated_images/087000.png,parking meter,0.37
5,datasets_generated_ready_models/stylegan2/generated_images/087001.png,car,0.93
6,datasets_generated_ready_models/stylegan2/generated_images/087001.png,car,0.8
7,datasets_generated_ready_models/stylegan2/generated_images/087001.png,car,0.68
8,datasets_generated_ready_models/stylegan2/generated_images/087001.png,car,0.46
9,datasets_generated_ready_models/stylegan2/generated_images/087001.png,car,0.4
10,datasets_generated_ready_models/stylegan2/generated_images/087001.png,car,0.35
11,datasets_generated_ready_models/stylegan2/generated_images/087001.png,car,0.34
12,datasets_generated_ready_models/stylegan2/generated_images/087001.png,car,0.33
13,datasets_generated_ready_models/stylegan2/generated_images/087001.png,car,0.33
14,datasets_generated_ready_models/stylegan2/generated_images/087001.png,truck,0.31
15,datasets_generated_ready_models/stylegan2/generated_images/087002.png,car,0.82
16,datasets_generated_ready_models/stylegan2/generated_images/087003.png,car,0.93
17,datasets_generated_ready_models/stylegan2/generated_images/087003.png,fire hydrant,0.46
18,datasets_generated_ready_models/stylegan2/generated_images/087003.png,parking meter,0.36
19,datasets_generated_ready_models/stylegan2/generated_images/087003.png,fire hydrant,0.3
20,datasets_generated_ready_models/stylegan2/generated_images/087004.png,car,0.87
21,datasets_generated_ready_models/stylegan2/generated_images/087004.png,truck,0.25
22,datasets_generated_ready_models/stylegan2/generated_images/087005.png,car,0.92
23,datasets_generated_ready_models/stylegan2/generated_images/087005.png,car,0.88
24,datasets_generated_ready_models/stylegan2/generated_images/087005.png,car,0.88
25,datasets_generated_ready_models/stylegan2/generated_images/087005.png,car,0.62
26,datasets_generated_ready_models/stylegan2/generated_images/087005.png,car,0.28
27,datasets_generated_ready_models/stylegan2/generated_images/087006.png,truck,0.89
28,datasets_generated_ready_models/stylegan2/generated_images/087007.png,car,0.95
29,datasets_generated_ready_models/stylegan2/generated_images/087008.png,car,0.95
30,datasets_generated_ready_models/stylegan2/generated_images/087009.png,car,0.94
31,datasets_generated_ready_models/stylegan2/generated_images/087009.png,boat,0.41
32,datasets_generated_ready_models/stylegan2/generated_images/087009.png,boat,0.41
33,datasets_generated_ready_models/stylegan2/generated_images/087009.png,boat,0.26
34,datasets_generated_ready_models/stylegan2/generated_images/087009.png,boat,0.25
35,datasets_generated_ready_models/stylegan2/generated_images/087010.png,car,0.96
36,datasets_generated_ready_models/stylegan2/generated_images/087011.png,truck,0.81
37,datasets_generated_ready_models/stylegan2/generated_images/087012.png,truck,0.68
38,datasets_generated_ready_models/stylegan2/generated_images/087012.png,car,0.55
39,datasets_generated_ready_models/stylegan2/generated_images/087013.png,car,0.71
40,datasets_generated_ready_models/stylegan2/generated_images/087013.png,truck,0.56
41,datasets_generated_ready_models/stylegan2/generated_images/087014.png,car,0.89
42,datasets_generated_ready_models/stylegan2/generated_images/087014.png,person,0.88
43,datasets_generated_ready_models/stylegan2/generated_images/087014.png,car,0.53
44,datasets_generated_ready_models/stylegan2/generated_images/087014.png,car,0.35
45,datasets_generated_ready_models/stylegan2/generated_images/087014.png,backpack,0.33
46,datasets_generated_ready_models/stylegan2/generated_images/087014.png,car,0.32
47,datasets_generated_ready_models/stylegan2/generated_images/087014.png,car,0.31
48,datasets_generated_ready_models/stylegan2/generated_images/087014.png,car,0.29
49,datasets_generated_ready_models/stylegan2/generated_images/087014.png,person,0.25
50,datasets_generated_ready_models/stylegan2/generated_images/087015.png,car,0.94
51,datasets_generated_ready_models/stylegan2/generated_images/087016.png,car,0.97
52,datasets_generated_ready_models/stylegan2/generated_images/087017.png,car,0.92
53,datasets_generated_ready_models/stylegan2/generated_images/087017.png,car,0.47
54,datasets_generated_ready_models/stylegan2/generated_images/087018.png,truck,0.71
55,datasets_generated_ready_models/stylegan2/generated_images/087019.png,car,0.95
56,datasets_generated_ready_models/stylegan2/generated_images/087020.png,car,0.95
57,datasets_generated_ready_models/stylegan2/generated_images/087020.png,car,0.53
58,datasets_generated_ready_models/stylegan2/generated_images/087020.png,car,0.27
59,datasets_generated_ready_models/stylegan2/generated_images/087021.png,car,0.91
60,datasets_generated_ready_models/stylegan2/generated_images/087022.png,car,0.87
61,datasets_generated_ready_models/stylegan2/generated_images/087022.png,car,0.84
62,datasets_generated_ready_models/stylegan2/generated_images/087022.png,car,0.82
63,datasets_generated_ready_models/stylegan2/generated_images/087022.png,person,0.65
64,datasets_generated_ready_models/stylegan2/generated_images/087022.png,pizza,0.54
65,datasets_generated_ready_models/stylegan2/generated_images/087022.png,truck,0.53
66,datasets_generated_ready_models/stylegan2/generated_images/087023.png,car,0.94
67,datasets_generated_ready_models/stylegan2/generated_images/087024.png,car,0.89
68,datasets_generated_ready_models/stylegan2/generated_images/087025.png,car,0.9
69,datasets_generated_ready_models/stylegan2/generated_images/087025.png,car,0.88
70,datasets_generated_ready_models/stylegan2/generated_images/087025.png,car,0.48
71,datasets_generated_ready_models/stylegan2/generated_images/087026.png,car,0.96
72,datasets_generated_ready_models/stylegan2/generated_images/087026.png,car,0.89
73,datasets_generated_ready_models/stylegan2/generated_images/087027.png,train,0.53
74,datasets_generated_ready_models/stylegan2/generated_images/087028.png,car,0.94
75,datasets_generated_ready_models/stylegan2/generated_images/087029.png,car,0.94
76,datasets_generated_ready_models/stylegan2/generated_images/087029.png,car,0.93
77,datasets_generated_ready_models/stylegan2/generated_images/087029.png,motorcycle,0.69
78,datasets_generated_ready_models/stylegan2/generated_images/087029.png,car,0.38
79,datasets_generated_ready_models/stylegan2/generated_images/087030.png,truck,0.63
80,datasets_generated_ready_models/stylegan2/generated_images/087030.png,car,0.36
81,datasets_generated_ready_models/stylegan2/generated_images/087031.png,car,0.94
82,datasets_generated_ready_models/stylegan2/generated_images/087032.png,car,0.95
83,datasets_generated_ready_models/stylegan2/generated_images/087033.png,car,0.96
84,datasets_generated_ready_models/stylegan2/generated_images/087034.png,car,0.3
85,datasets_generated_ready_models/stylegan2/generated_images/087034.png,motorcycle,0.29
86,datasets_generated_ready_models/stylegan2/generated_images/087035.png,truck,0.95
87,datasets_generated_ready_models/stylegan2/generated_images/087036.png,car,0.93
88,datasets_generated_ready_models/stylegan2/generated_images/087037.png,car,0.92
